Nested Sampling Global Log-Evidence           :    0.153171888303307031E+06  +/-    0.345665670927125634E+00
Nested Importance Sampling Global Log-Evidence:    0.153168009062531171E+06  +/-    0.346146247507136073E+00

Dim No.       Mean        Sigma
   1    0.336100256380908480E+01    0.596046447753906250E-06
   2    0.245459643265705975E+07    0.136215591985646062E+00
   3    0.528198774164380103E+00    0.578957085987506226E-01
   4    0.143890322347894589E+00    0.168179705204644838E-02
   5    0.274293812919062352E+00    0.141514889782683867E+00
   6    0.410817975634567845E+00    0.198443920307271815E+00
   7    0.220627668138007175E+04    0.123413086188511613E+03
   8   -0.113254143733644883E-03    0.126813167942403572E-04
   9    0.300720261708743770E+02    0.529821270690283157E+02
  10    0.924292135906939261E+00    0.247593723672782628E+01
  11    0.331661992081649371E-01    0.205841190961185871E+01
  12    0.703542989566017809E+02    0.303064707966784663E+01
  13    0.960022382436227728E+00    0.199440318638550740E+01
  14    0.121413309251867485E+02    0.175074757490688859E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.336100244402178294E+01
   2    0.245459643284027558E+07
   3    0.518748489801312829E+00
   4    0.143330552330857536E+00
   5    0.323272232003372628E+00
   6    0.277536703985533206E+00
   7    0.224436336147503880E+04
   8   -0.118437223997861551E-03
   9    0.572297338895941365E+02
  10    0.101591057912758131E+01
  11   -0.356901970915199485E+00
  12    0.682880417619173841E+02
  13    0.371000875896276727E+00
  14    0.118270623115433295E+02

MAP Parameters
Dim No.        Parameter
   1    0.336100244402178294E+01
   2    0.245459643284027558E+07
   3    0.518748489801312829E+00
   4    0.143330552330857536E+00
   5    0.323272232003372628E+00
   6    0.277536703985533206E+00
   7    0.224436336147503880E+04
   8   -0.118437223997861551E-03
   9    0.572297338895941365E+02
  10    0.101591057912758131E+01
  11   -0.356901970915199485E+00
  12    0.682880417619173841E+02
  13    0.371000875896276727E+00
  14    0.118270623115433295E+02
